Player,TTL,AVG
Tom Kennedy,48,12
Jakobie Keeney-James,48,48
Tahj Brooks,47,6.7
James Mitchell,47,9.4
Tai Felton,46,7.7
D'Ernest Johnson,46,7.7
Tahj Washington,45,7.5
Carter Runyon,45,4.5
Joshua Dobbs,44,11
Najee Harris,43,14.3
Ty Chandler,42,21
Gardner Minshew II,41,10.3
Julius Chestnut,40,4
Devin Duvernay,40,6.7
Britain Covey,40,13.3
Terrell Jennings,39,7.8
Hayden Rucci,39,9.8
Drew Lock,38,7.6
Ronnie Bell,38,19
Simi Fehoko,37,7.4
George Holani,36,9
Nick Mullens,36,7.2
Laquon Treadwell,36,5.1
Tyler Goodson,35,3.9
Teddy Bridgewater,35,8.8
Jared Wayne,35,35
Travis Vokolek,32,10.7
Nikko Remigio,31,3.4
Albert Okwuegbunam Jr.,31,31
Bryce Oliver,30,10
Tay Martin,30,10
Xavier Restrepo,30,15
Corey Kiner,30,7.5
Ko Kieft,29,9.7
Sal Cannella,29,14.5
Shane Buechele,29,29
Russell Gage Jr.,28,28
Dameon Pierce,28,9.3
Cam Grandy,28,5.6
Kene Nwangwu,28,9.3
Jared Wiley,28,7
Dylan Laube,27,5.4
Jason Brownlee,26,6.5
Zach Wilson,26,6.5
Tim Jones,26,6.5
DeeJay Dallas,26,8.7
Jordan Watkins,25,6.3
Ke'Shawn Williams,23,3.3
Shedrick Jackson,22,4.4
Deven Thompkins,22,5.5
Charlie Jones,20,4
CJ Dippre,20,10
Ronnie Rivers,19,4.8
Clyde Edwards-Helaire,19,9.5
Jimmy Garoppolo,18,6
Myles Price,17,3.4
Malik Turner,17,5.7
Kyle Allen,16,5.3
Treyton Welch,16,5.3
Will Mallory,16,8
Michael Bandy,16,4
Dalen Cambre,16,3.2
Quentin Skinner,16,16
Feleipe Franks,15,2.1
Brittain Brown,15,7.5
Tyson Bagent,14,4.7
Dominic Lovett,14,2
Anthony Richardson Sr.,14,7
Stephen Carlson,14,7
Thomas Fidone II,14,7
Brayden Willis,13,2.2
Ricky White III,13,6.5
Nathan Carter,12,3
Kalel Mullings,12,3
Chris Blair,12,6
Steven Sims Jr.,12,4
E.J. Jenkins,11,5.5
Zach Horton,11,5.5
Samori Toure,10,10
Phil Mafah,10,10
Cam Akers,9,3
Velus Jones Jr.,9,2.3
Dalevon Campbell,9,9
Xavier Gipson,9,3
Jeff Wilson Jr.,8,4
Jacob Saylors,8,2
Jalen Cropper,8,2.7
Josh Williams,8,4
Brandon Smith,8,8
Sean McKeon,8,8
Owen Wright,7,2.3
Ja'Corey Brooks,7,7
Elijah Mitchell,7,7
Zach Davidson,7,7
River Cracraft,7,7
Travis Homer,6,3
Jacardia Wright,5,5
Justin Shorter,5,1.7
Jackson Meeks,5,2.5
Nyheim Miller-Hines,5,2.5
Kedon Slovis,5,2.5
Craig Reynolds,4,2
Roschon Johnson,4,2
Jarrett Stidham,4,4
Dan Chisena,4,4
Amar Johnson,4,4
Kendall Milton,4,4
Mecole Hardman Jr.,4,4
Tejhaun Palmer,4,4
Jalen Milroe,3,1
Brett Rypien,3,3
Myles Gaskin,3,3
Jordan James,3,3
Eric Gray,3,3
Ulysses Bentley IV,2,2
Parris Campbell,2,2
Jamal Agnew,1,1
Adrian Martinez,1,1
Trey Sermon,1,1
Sione Vaki,1,1
Kaden Davis,1,1
Malik Cunningham,1,1
Coleman Owen,1,1
Lawrence Cager,1,1
Maurice Alexander,1,1
Chase Edmonds,1,1
Jimmy Holiday,1,1
